DateKey,Date,Year,Quarter,MonthNumber,MonthName,MonthYear,Day,DayName,WeekOfYear,IsWeekend
20230101,2023-01-01,2023,Q1,1,January,Jan 2023,1,Sunday,52,True
20230102,2023-01-02,2023,Q1,1,January,Jan 2023,2,Monday,1,False
20230103,2023-01-03,2023,Q1,1,January,Jan 2023,3,Tuesday,1,False
20230104,2023-01-04,2023,Q1,1,January,Jan 2023,4,Wednesday,1,False
20230105,2023-01-05,2023,Q1,1,January,Jan 2023,5,Thursday,1,False
20230106,2023-01-06,2023,Q1,1,January,Jan 2023,6,Friday,1,False
20230107,2023-01-07,2023,Q1,1,January,Jan 2023,7,Saturday,1,True
20230108,2023-01-08,2023,Q1,1,January,Jan 2023,8,Sunday,1,True
20230109,2023-01-09,2023,Q1,1,January,Jan 2023,9,Monday,2,False
20230110,2023-01-10,2023,Q1,1,January,Jan 2023,10,Tuesday,2,False
20230111,2023-01-11,2023,Q1,1,January,Jan 2023,11,Wednesday,2,False
20230112,2023-01-12,2023,Q1,1,January,Jan 2023,12,Thursday,2,False
20230113,2023-01-13,2023,Q1,1,January,Jan 2023,13,Friday,2,False
20230114,2023-01-14,2023,Q1,1,January,Jan 2023,14,Saturday,2,True
20230115,2023-01-15,2023,Q1,1,January,Jan 2023,15,Sunday,2,True
20230116,2023-01-16,2023,Q1,1,January,Jan 2023,16,Monday,3,False
20230117,2023-01-17,2023,Q1,1,January,Jan 2023,17,Tuesday,3,False
20230118,2023-01-18,2023,Q1,1,January,Jan 2023,18,Wednesday,3,False
20230119,2023-01-19,2023,Q1,1,January,Jan 2023,19,Thursday,3,False
20230120,2023-01-20,2023,Q1,1,January,Jan 2023,20,Friday,3,False
20230121,2023-01-21,2023,Q1,1,January,Jan 2023,21,Saturday,3,True
20230122,2023-01-22,2023,Q1,1,January,Jan 2023,22,Sunday,3,True
20230123,2023-01-23,2023,Q1,1,January,Jan 2023,23,Monday,4,False
20230124,2023-01-24,2023,Q1,1,January,Jan 2023,24,Tuesday,4,False
20230125,2023-01-25,2023,Q1,1,January,Jan 2023,25,Wednesday,4,False
20230126,2023-01-26,2023,Q1,1,January,Jan 2023,26,Thursday,4,False
20230127,2023-01-27,2023,Q1,1,January,Jan 2023,27,Friday,4,False
20230128,2023-01-28,2023,Q1,1,January,Jan 2023,28,Saturday,4,True
20230129,2023-01-29,2023,Q1,1,January,Jan 2023,29,Sunday,4,True
20230130,2023-01-30,2023,Q1,1,January,Jan 2023,30,Monday,5,False
20230131,2023-01-31,2023,Q1,1,January,Jan 2023,31,Tuesday,5,False
20230201,2023-02-01,2023,Q1,2,February,Feb 2023,1,Wednesday,5,False
20230202,2023-02-02,2023,Q1,2,February,Feb 2023,2,Thursday,5,False
20230203,2023-02-03,2023,Q1,2,February,Feb 2023,3,Friday,5,False
20230204,2023-02-04,2023,Q1,2,February,Feb 2023,4,Saturday,5,True
20230205,2023-02-05,2023,Q1,2,February,Feb 2023,5,Sunday,5,True
20230206,2023-02-06,2023,Q1,2,February,Feb 2023,6,Monday,6,False
20230207,2023-02-07,2023,Q1,2,February,Feb 2023,7,Tuesday,6,False
20230208,2023-02-08,2023,Q1,2,February,Feb 2023,8,Wednesday,6,False
20230209,2023-02-09,2023,Q1,2,February,Feb 2023,9,Thursday,6,False
20230210,2023-02-10,2023,Q1,2,February,Feb 2023,10,Friday,6,False
20230211,2023-02-11,2023,Q1,2,February,Feb 2023,11,Saturday,6,True
20230212,2023-02-12,2023,Q1,2,February,Feb 2023,12,Sunday,6,True
20230213,2023-02-13,2023,Q1,2,February,Feb 2023,13,Monday,7,False
20230214,2023-02-14,2023,Q1,2,February,Feb 2023,14,Tuesday,7,False
20230215,2023-02-15,2023,Q1,2,February,Feb 2023,15,Wednesday,7,False
20230216,2023-02-16,2023,Q1,2,February,Feb 2023,16,Thursday,7,False
20230217,2023-02-17,2023,Q1,2,February,Feb 2023,17,Friday,7,False
20230218,2023-02-18,2023,Q1,2,February,Feb 2023,18,Saturday,7,True
20230219,2023-02-19,2023,Q1,2,February,Feb 2023,19,Sunday,7,True
20230220,2023-02-20,2023,Q1,2,February,Feb 2023,20,Monday,8,False
20230221,2023-02-21,2023,Q1,2,February,Feb 2023,21,Tuesday,8,False
20230222,2023-02-22,2023,Q1,2,February,Feb 2023,22,Wednesday,8,False
20230223,2023-02-23,2023,Q1,2,February,Feb 2023,23,Thursday,8,False
20230224,2023-02-24,2023,Q1,2,February,Feb 2023,24,Friday,8,False
20230225,2023-02-25,2023,Q1,2,February,Feb 2023,25,Saturday,8,True
20230226,2023-02-26,2023,Q1,2,February,Feb 2023,26,Sunday,8,True
20230227,2023-02-27,2023,Q1,2,February,Feb 2023,27,Monday,9,False
20230228,2023-02-28,2023,Q1,2,February,Feb 2023,28,Tuesday,9,False
20230301,2023-03-01,2023,Q1,3,March,Mar 2023,1,Wednesday,9,False
20230302,2023-03-02,2023,Q1,3,March,Mar 2023,2,Thursday,9,False
20230303,2023-03-03,2023,Q1,3,March,Mar 2023,3,Friday,9,False
20230304,2023-03-04,2023,Q1,3,March,Mar 2023,4,Saturday,9,True
20230305,2023-03-05,2023,Q1,3,March,Mar 2023,5,Sunday,9,True
20230306,2023-03-06,2023,Q1,3,March,Mar 2023,6,Monday,10,False
20230307,2023-03-07,2023,Q1,3,March,Mar 2023,7,Tuesday,10,False
20230308,2023-03-08,2023,Q1,3,March,Mar 2023,8,Wednesday,10,False
20230309,2023-03-09,2023,Q1,3,March,Mar 2023,9,Thursday,10,False
20230310,2023-03-10,2023,Q1,3,March,Mar 2023,10,Friday,10,False
20230311,2023-03-11,2023,Q1,3,March,Mar 2023,11,Saturday,10,True
20230312,2023-03-12,2023,Q1,3,March,Mar 2023,12,Sunday,10,True
20230313,2023-03-13,2023,Q1,3,March,Mar 2023,13,Monday,11,False
20230314,2023-03-14,2023,Q1,3,March,Mar 2023,14,Tuesday,11,False
20230315,2023-03-15,2023,Q1,3,March,Mar 2023,15,Wednesday,11,False
20230316,2023-03-16,2023,Q1,3,March,Mar 2023,16,Thursday,11,False
20230317,2023-03-17,2023,Q1,3,March,Mar 2023,17,Friday,11,False
20230318,2023-03-18,2023,Q1,3,March,Mar 2023,18,Saturday,11,True
20230319,2023-03-19,2023,Q1,3,March,Mar 2023,19,Sunday,11,True
20230320,2023-03-20,2023,Q1,3,March,Mar 2023,20,Monday,12,False
20230321,2023-03-21,2023,Q1,3,March,Mar 2023,21,Tuesday,12,False
20230322,2023-03-22,2023,Q1,3,March,Mar 2023,22,Wednesday,12,False
20230323,2023-03-23,2023,Q1,3,March,Mar 2023,23,Thursday,12,False
20230324,2023-03-24,2023,Q1,3,March,Mar 2023,24,Friday,12,False
20230325,2023-03-25,2023,Q1,3,March,Mar 2023,25,Saturday,12,True
20230326,2023-03-26,2023,Q1,3,March,Mar 2023,26,Sunday,12,True
20230327,2023-03-27,2023,Q1,3,March,Mar 2023,27,Monday,13,False
20230328,2023-03-28,2023,Q1,3,March,Mar 2023,28,Tuesday,13,False
20230329,2023-03-29,2023,Q1,3,March,Mar 2023,29,Wednesday,13,False
20230330,2023-03-30,2023,Q1,3,March,Mar 2023,30,Thursday,13,False
20230331,2023-03-31,2023,Q1,3,March,Mar 2023,31,Friday,13,False
20230401,2023-04-01,2023,Q2,4,April,Apr 2023,1,Saturday,13,True
20230402,2023-04-02,2023,Q2,4,April,Apr 2023,2,Sunday,13,True
20230403,2023-04-03,2023,Q2,4,April,Apr 2023,3,Monday,14,False
20230404,2023-04-04,2023,Q2,4,April,Apr 2023,4,Tuesday,14,False
20230405,2023-04-05,2023,Q2,4,April,Apr 2023,5,Wednesday,14,False
20230406,2023-04-06,2023,Q2,4,April,Apr 2023,6,Thursday,14,False
20230407,2023-04-07,2023,Q2,4,April,Apr 2023,7,Friday,14,False
20230408,2023-04-08,2023,Q2,4,April,Apr 2023,8,Saturday,14,True
20230409,2023-04-09,2023,Q2,4,April,Apr 2023,9,Sunday,14,True
20230410,2023-04-10,2023,Q2,4,April,Apr 2023,10,Monday,15,False
20230411,2023-04-11,2023,Q2,4,April,Apr 2023,11,Tuesday,15,False
20230412,2023-04-12,2023,Q2,4,April,Apr 2023,12,Wednesday,15,False
20230413,2023-04-13,2023,Q2,4,April,Apr 2023,13,Thursday,15,False
20230414,2023-04-14,2023,Q2,4,April,Apr 2023,14,Friday,15,False
20230415,2023-04-15,2023,Q2,4,April,Apr 2023,15,Saturday,15,True
20230416,2023-04-16,2023,Q2,4,April,Apr 2023,16,Sunday,15,True
20230417,2023-04-17,2023,Q2,4,April,Apr 2023,17,Monday,16,False
20230418,2023-04-18,2023,Q2,4,April,Apr 2023,18,Tuesday,16,False
20230419,2023-04-19,2023,Q2,4,April,Apr 2023,19,Wednesday,16,False
