SalesOrderID,DateKey,ProductKey,CustomerKey,RegionKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,SalesAmount,COGS,Profit
SO105021,20230101,16,36,1,12,2,1599000,0.0,3198000,1840000,1358000
SO109119,20230101,12,142,8,2,1,299000,0.0,299000,120000,179000
SO100738,20230101,18,290,14,11,5,649000,0.0,3245000,1600000,1645000
SO109096,20230101,1,146,1,3,4,13999000,0.0,55996000,39200000,16796000
SO108768,20230101,19,190,10,6,3,169000,0.05,481600,225000,256600
SO100059,20230101,13,150,11,12,5,89000,0.0,445000,125000,320000
SO111392,20230101,14,271,2,1,4,59000,0.0,236000,48000,188000
SO104383,20230101,5,14,1,3,5,3999000,0.05,18995200,14500000,4495200
SO102404,20230102,12,108,4,5,3,299000,0.0,897000,360000,537000
SO102354,20230102,19,46,17,6,4,169000,0.0,676000,300000,376000
SO103543,20230102,12,203,14,9,1,299000,0.05,284000,120000,164000
SO102052,20230102,3,271,2,2,2,1999000,0.05,3798100,2900000,898100
SO109821,20230102,8,109,3,4,1,799000,0.0,799000,420000,379000
SO104441,20230102,17,207,18,7,4,329000,0.05,1250200,600000,650200
SO101781,20230102,17,118,2,8,4,329000,0.1,1184400,600000,584400
SO106936,20230102,16,268,8,11,4,1599000,0.0,6396000,3680000,2716000
SO100122,20230102,14,195,3,7,4,59000,0.0,236000,48000,188000
SO105932,20230102,14,68,4,1,1,59000,0.0,59000,12000,47000
SO103454,20230103,17,262,1,11,3,329000,0.0,987000,450000,537000
SO105910,20230103,2,271,2,5,4,4499000,0.05,17096200,12400000,4696200
SO108616,20230103,17,233,7,8,4,329000,0.05,1250200,600000,650200
SO108952,20230103,18,63,1,9,2,649000,0.0,1298000,640000,658000
SO110678,20230103,8,131,6,4,1,799000,0.05,759000,420000,339000
SO106916,20230104,2,292,11,3,3,4499000,0.0,13497000,9300000,4197000
SO103320,20230104,13,132,5,4,2,89000,0.15,151300,50000,101300
SO105304,20230104,7,128,5,6,3,499000,0.0,1497000,840000,657000
SO102778,20230104,19,54,12,8,5,169000,0.0,845000,375000,470000
SO111967,20230104,14,161,2,12,2,59000,0.0,118000,24000,94000
SO107200,20230104,20,168,4,8,2,129000,0.0,258000,110000,148000
SO107485,20230104,7,294,8,1,3,499000,0.0,1497000,840000,657000
SO107860,20230104,11,125,1,12,1,199000,0.0,199000,85000,114000
SO102393,20230105,5,258,2,2,1,3999000,0.0,3999000,2900000,1099000
SO109114,20230105,9,13,1,12,4,349000,0.1,1256400,760000,496400
SO111695,20230105,18,12,6,7,1,649000,0.0,649000,320000,329000
SO109227,20230105,20,290,14,1,3,129000,0.05,367600,165000,202600
SO105524,20230105,2,126,1,3,2,4499000,0.05,8548100,6200000,2348100
SO106537,20230105,18,212,1,10,1,649000,0.0,649000,320000,329000
SO111319,20230105,11,106,1,7,2,199000,0.0,398000,170000,228000
SO101632,20230105,17,211,1,6,5,329000,0.05,1562800,750000,812800
SO103216,20230106,6,232,5,2,2,2199000,0.0,4398000,2700000,1698000
SO110409,20230106,11,168,4,10,5,199000,0.0,995000,425000,570000
SO106367,20230106,20,10,2,4,4,129000,0.1,464400,220000,244400
SO110775,20230106,9,94,3,12,1,349000,0.1,314100,190000,124100
SO109143,20230106,14,284,2,1,3,59000,0.05,168200,36000,132200
SO104084,20230106,19,270,6,9,4,169000,0.0,676000,300000,376000
SO102108,20230106,14,115,4,11,5,59000,0.0,295000,60000,235000
SO105488,20230106,5,265,14,12,1,3999000,0.0,3999000,2900000,1099000
SO101486,20230107,18,209,1,10,5,649000,0.0,3245000,1600000,1645000
SO105060,20230107,20,293,17,6,3,129000,0.05,367600,165000,202600
SO104057,20230107,13,222,15,12,3,89000,0.0,267000,75000,192000
SO109332,20230107,12,194,14,4,3,299000,0.05,852200,360000,492200
SO106667,20230107,19,168,4,9,3,169000,0.0,507000,225000,282000
SO102507,20230107,13,91,14,6,1,89000,0.05,84600,25000,59600
SO107616,20230107,17,18,18,7,4,329000,0.0,1316000,600000,716000
SO110511,20230107,17,94,3,9,3,329000,0.05,937600,450000,487600
SO111159,20230107,19,283,11,3,1,169000,0.0,169000,75000,94000
SO108243,20230107,9,270,6,1,1,349000,0.0,349000,190000,159000
SO101200,20230108,6,220,6,8,1,2199000,0.0,2199000,1350000,849000
SO106830,20230108,14,28,2,11,1,59000,0.1,53100,12000,41100
SO102080,20230108,14,144,1,3,2,59000,0.05,112100,24000,88100
SO100215,20230108,17,44,5,1,1,329000,0.0,329000,150000,179000
SO108852,20230108,9,219,7,3,5,349000,0.1,1570500,950000,620500
SO104079,20230108,17,45,8,6,2,329000,0.0,658000,300000,358000
SO104129,20230108,14,20,1,5,5,59000,0.05,280200,60000,220200
SO100518,20230108,6,34,1,4,2,2199000,0.0,4398000,2700000,1698000
SO103674,20230108,20,99,3,9,5,129000,0.0,645000,275000,370000
SO111412,20230108,16,273,2,6,1,1599000,0.1,1439100,920000,519100
SO111936,20230108,5,81,17,7,2,3999000,0.0,7998000,5800000,2198000
SO105029,20230109,10,40,5,9,4,599000,0.0,2396000,1240000,1156000
SO110361,20230109,19,152,3,10,4,169000,0.1,608400,300000,308400
SO108719,20230109,18,286,4,3,4,649000,0.0,2596000,1280000,1316000
SO108587,20230109,20,298,3,1,3,129000,0.0,387000,165000,222000
SO110576,20230109,13,5,1,9,5,89000,0.0,445000,125000,320000
SO100224,20230109,17,9,8,8,1,329000,0.0,329000,150000,179000
SO107534,20230109,11,279,12,3,1,199000,0.0,199000,85000,114000
